source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,31,0,124.0,0.0,124.0,4,34,28,6,0
table,25000,50000,25000,50000,49,15,196.0,60.0,256.0,7,50,38,12,0
table,50000,75000,25000,75000,43,21,172.0,84.0,256.0,7,45,35,10,0
table,75000,100000,25000,100000,45,18,180.0,72.0,252.0,7,44,32,12,0
table,100000,125000,25000,125000,27,14,108.0,56.0,164.0,6,28,24,4,0
table,125000,150000,25000,150000,24,23,96.0,92.0,188.0,7,28,26,2,0
table,150000,175000,25000,175000,22,28,88.0,112.0,200.0,7,18,18,0,0
table,175000,200000,25000,200000,23,28,92.0,112.0,204.0,7,24,20,4,0
table,200000,225000,25000,225000,11,28,44.0,112.0,156.0,5,11,7,4,0
table,225000,250000,25000,250000,27,26,108.0,104.0,212.0,7,27,23,4,0
table,250000,275000,25000,275000,19,28,76.0,112.0,188.0,7,18,18,0,0
table,275000,300000,25000,300000,12,26,48.0,104.0,152.0,5,13,12,1,0
table,300000,325000,25000,325000,22,28,88.0,112.0,200.0,7,22,19,3,0
table,325000,350000,25000,350000,20,26,80.0,104.0,184.0,6,21,19,2,0
table,350000,375000,25000,375000,10,28,40.0,112.0,152.0,5,9,7,2,0
table,375000,400000,25000,400000,13,28,52.0,112.0,164.0,6,12,10,2,0
table,400000,425000,25000,425000,9,26,36.0,104.0,140.0,5,9,5,4,0
table,425000,450000,25000,450000,13,28,52.0,112.0,164.0,6,13,13,0,0
table,450000,475000,25000,475000,15,26,60.0,104.0,164.0,6,15,13,2,0
table,475000,500000,25000,500000,35,36,140.0,144.0,284.0,7,39,33,6,0
