source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,29,5,116.0,20.0,121.0,4,34,31,3,0
table,25000,50000,25000,50000,37,15,148.0,60.0,163.0,6,34,29,5,0
table,50000,75000,25000,75000,38,14,152.0,56.0,166.0,6,44,39,5,0
table,75000,100000,25000,100000,47,4,188.0,16.0,192.0,7,41,36,5,0
table,100000,125000,25000,125000,24,11,96.0,44.0,107.0,4,28,24,4,0
table,125000,150000,25000,150000,24,31,96.0,124.0,127.0,4,26,22,4,0
table,150000,175000,25000,175000,28,29,112.0,116.0,141.0,5,30,24,6,0
table,175000,200000,25000,200000,21,42,84.0,168.0,126.0,4,22,14,8,0
table,200000,225000,25000,225000,22,42,88.0,168.0,130.0,5,21,15,6,0
table,225000,250000,25000,250000,20,39,80.0,156.0,119.0,4,23,19,4,0
table,250000,275000,25000,275000,14,58,56.0,232.0,114.0,4,16,12,4,0
table,275000,300000,25000,300000,17,65,68.0,260.0,133.0,5,16,12,4,0
table,300000,325000,25000,325000,13,70,52.0,280.0,122.0,4,14,12,2,0
table,325000,350000,25000,350000,22,62,88.0,248.0,150.0,5,22,16,6,0
table,350000,375000,25000,375000,14,56,56.0,224.0,112.0,4,13,13,0,0
table,375000,400000,25000,400000,20,56,80.0,224.0,136.0,5,20,16,4,0
table,400000,425000,25000,425000,7,52,28.0,208.0,80.0,3,7,7,0,0
table,425000,450000,25000,450000,12,56,48.0,224.0,104.0,4,12,12,0,0
table,450000,475000,25000,475000,12,52,48.0,208.0,100.0,4,13,13,0,0
table,475000,500000,25000,500000,34,95,136.0,380.0,231.0,7,44,34,10,0
