555,169,0020000000
3202,194,0100000000
3263,111,1000000000
3814,210,0400000000
3940,163,0010000000
4444,55,0000000002
4607,7,0000000020
5535,29,1000000000
5613,245,0000100000
6890,181,2000000000
7230,138,0200000000
8308,17,0080000000
10758,4,0001000000
10966,204,0000800000
12877,7,0000000040
13941,7,0000200000
14183,162,2000000000
14885,33,1000000000
15274,90,0000000200
16165,52,0800000000
16544,188,0000000400
17406,33,0002000000
17751,90,0000040000
22330,76,0000004000
23625,188,0020000000
24908,227,2000000000
25664,159,0008000000
26377,52,0000080000
28583,143,0000200000
29683,25,1000000000
30138,46,1000000000
31568,21,0008000000
31713,23,0200000000
31860,119,0080000000
33137,168,0000008000
33518,47,0000008000
34728,199,0000040000
37859,197,0000200000
38051,62,0000020000
38291,123,0000000400
38960,74,0000020000
39594,161,0400000000
39604,62,0020000000
39846,216,0100000000
40097,71,0000000080
40165,166,0000100000
40669,150,0100000000
40707,230,0000400000
41564,22,0000080000
42136,131,0000004000
43077,71,0800000000
44086,130,0000000080
45182,70,0000010000
47110,9,0000000800
48196,99,0004000000
48520,166,0200000000
49583,29,0000000002
50263,111,1000000000
51370,225,0002000000
52493,82,0000000020
52570,20,0000000001
53302,20,0000004000
53458,199,0000001000
53729,6,0000001000
53962,23,0000020000
53985,109,0000020000
54605,115,1000000000
56282,77,0000000008
58546,25,0000000040
59394,152,2000000000
60066,197,0200000000
60088,66,0000020000
60737,152,0008000000
61618,253,4000000000
62676,41,0000020000
62722,197,0000800000
62737,157,0008000000
62980,105,1000000000
63834,142,4000000000
63938,40,0000000010
63939,253,1000000000
64775,20,0000000002
65493,245,0000000008
66388,75,2000000000
66492,172,0000008000
66658,140,0400000000
67054,245,0100000000
67933,205,0000000010
68314,253,0800000000
68466,75,0000000040
69253,73,0000400000
69863,252,0000000040
71101,33,0000200000
71196,112,0020000000
71570,43,0000000100
71821,97,0100000000
72508,33,0000000008
72745,10,0000080000
73582,105,0000000800
74500,89,0000400000
75610,94,0000400000
75732,240,0000400000
75896,21,0000400000
76528,161,0000000040
76541,107,4000000000
76543,28,0008000000
76784,61,0000001000
76869,196,0000020000
77479,147,0080000000
77571,213,1000000000
77910,106,0000080000
78020,89,0000000020
78668,206,0000000040
80356,38,0000000002
80651,194,0000000002
80929,166,0000000020
80978,156,0000020000
81220,182,0040000000
81531,66,0000000800
82490,12,0000000080
82496,201,2000000000
82519,102,0000020000
82597,140,0008000000
82867,81,0000010000
82874,52,0000800000
84084,4,0400000000
85004,139,0000100000
85201,80,0000000008
86111,132,0000010000
86225,29,0000010000
86957,132,0080000000
87515,173,1000000000
88274,158,0000080000
88784,174,0400000000
88859,132,0000080000
90616,228,0000000400
91500,245,0000004000
91618,133,0001000000
93423,25,0000800000
93506,215,0000800000
95760,215,0000200000
98108,156,0000004000
98956,133,0000008000
101298,110,0080000000
102456,149,0000008000
103205,193,0000000010
103414,88,0400000000
106900,3,0000001000
108295,226,0000000002
111589,10,0000000040
112122,58,0020000000
113823,20,0000000100
114130,10,1000000000
116077,111,0008000000
117517,40,0020000000
118875,203,0000004000
121064,247,0000400000
122030,12,1000000000
122142,32,0000000010
122465,37,0000001000
123989,224,0000000100
124007,82,0010000000
124330,12,2000000000
124356,60,1000000000
124395,37,4000000000
124904,132,0000200000
124998,77,0000000002
125248,45,0000004000
125597,155,0000002000
127652,75,0000000100
127828,79,0002000000
129583,209,4000000000
130435,212,0000400000
130487,96,0000008000
130615,144,0800000000
130843,187,0800000000
131097,150,0000200000
132309,144,0000010000
132661,154,0000004000
133640,9,0000000020
133662,132,0000000040
134833,35,0000020000
135077,105,0000200000
135456,172,2000000000
136522,31,0000400000
136823,71,0800000000
136835,49,0001000000
137581,209,0000000080
137709,115,0000000002
140459,15,4000000000
140536,55,0000000400
141174,61,1000000000
141318,73,0000000008
141991,251,0100000000
142710,195,0008000000
142857,79,0000000010
143448,251,0000800000
144226,118,0000008000
144867,169,0080000000
145485,173,0000000400
145815,194,0000000020
146055,254,0040000000
148620,42,0000000010
148763,19,0001000000
149245,241,0000000004
150310,246,0000200000
150349,116,0400000000
151149,212,0000000400
152121,51,0100000000
152980,90,4000000000
153021,244,0000000002
155063,244,0008000000
157118,204,0000000800
157703,102,0100000000
157723,229,0200000000
159671,42,0400000000
160245,162,0100000000
160574,42,0010000000
161342,64,0000000200
162874,188,4000000000
163350,45,0100000000
163470,193,0001000000
163664,99,0008000000
165233,184,0000000200
165247,241,0001000000
166627,59,4000000000
167918,1,0000000400
169581,165,0000000001
169888,1,0000100000
170135,166,0002000000
170209,62,0000002000
172029,75,0000010000
172294,243,0000200000
172306,126,0004000000
173669,216,0000000010
173844,243,0000000200
174413,86,0000080000
174485,159,0000080000
175848,180,0020000000
179918,189,0080000000
179993,209,0000400000
181701,128,0000008000
181818,202,1000000000
182094,17,0200000000
183040,17,0000001000
183208,199,2000000000
183816,139,0000040000
184228,170,0000020000
185841,65,0002000000
188694,66,0000000004
190177,118,0002000000
193207,137,0000000004
193405,215,0000000080
194216,102,0400000000
195460,224,0400000000
195619,216,0000400000
196043,42,0000000010
198269,42,0000000400
199134,15,0000080000
201346,22,0080000000
202033,29,0400000000
202953,81,0000000080
204967,76,0000000100
207454,151,0000000100
