source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,35,9,140.0,36.0,176.0,6,37,31,6,0
table,25000,50000,25000,50000,24,15,96.0,60.0,156.0,5,25,23,2,0
table,50000,75000,25000,75000,32,14,128.0,56.0,184.0,6,34,28,6,0
table,75000,100000,25000,100000,46,15,184.0,60.0,244.0,7,43,35,8,0
table,100000,125000,25000,125000,25,14,100.0,56.0,156.0,5,27,21,6,0
table,125000,150000,25000,150000,28,49,112.0,196.0,308.0,7,34,27,7,0
table,150000,175000,25000,175000,23,56,92.0,224.0,316.0,7,24,21,3,0
table,175000,200000,25000,200000,26,56,104.0,224.0,328.0,7,24,16,8,0
table,200000,225000,25000,225000,18,56,72.0,224.0,296.0,7,17,17,0,0
table,225000,250000,25000,250000,21,50,84.0,200.0,284.0,7,22,14,8,0
table,250000,275000,25000,275000,23,42,92.0,168.0,260.0,7,22,18,4,0
table,275000,300000,25000,300000,17,37,68.0,148.0,216.0,7,21,17,4,0
table,300000,325000,25000,325000,16,37,64.0,148.0,212.0,7,14,9,5,0
table,325000,350000,25000,350000,26,26,104.0,104.0,208.0,7,26,25,1,0
table,350000,375000,25000,375000,12,28,48.0,112.0,160.0,6,13,13,0,0
table,375000,400000,25000,400000,21,62,84.0,248.0,332.0,7,28,18,10,0
table,400000,425000,25000,425000,6,65,24.0,260.0,284.0,7,6,6,0,0
table,425000,450000,25000,450000,8,70,32.0,280.0,312.0,7,8,8,0,0
table,450000,475000,25000,475000,15,54,60.0,216.0,276.0,7,15,15,0,0
table,475000,500000,25000,500000,40,56,160.0,224.0,384.0,7,40,38,2,0
