source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,31,0,124.0,0.0,124.0,4,33,27,6,0
table,25000,50000,25000,50000,21,0,84.0,0.0,84.0,3,20,20,0,0
table,50000,75000,25000,75000,49,0,196.0,0.0,196.0,7,53,40,13,0
table,75000,100000,25000,100000,41,1,164.0,4.0,165.0,6,39,33,6,0
table,100000,125000,25000,125000,37,35,148.0,140.0,183.0,6,42,31,11,0
table,125000,150000,25000,150000,33,38,132.0,152.0,170.0,6,34,28,6,0
table,150000,175000,25000,175000,21,42,84.0,168.0,126.0,4,21,17,4,0
table,175000,200000,25000,200000,20,42,80.0,168.0,122.0,4,19,15,4,0
table,200000,225000,25000,225000,18,42,72.0,168.0,114.0,4,18,14,4,0
table,225000,250000,25000,250000,14,42,56.0,168.0,98.0,3,19,17,2,0
table,250000,275000,25000,275000,24,56,96.0,224.0,152.0,5,21,21,0,0
table,275000,300000,25000,300000,6,52,24.0,208.0,76.0,3,8,8,0,0
table,300000,325000,25000,325000,21,56,84.0,224.0,140.0,5,20,16,4,0
table,325000,350000,25000,350000,22,45,88.0,180.0,133.0,5,21,21,0,0
table,350000,375000,25000,375000,12,42,48.0,168.0,90.0,3,12,10,2,0
table,375000,400000,25000,400000,23,42,92.0,168.0,134.0,5,23,19,4,0
table,400000,425000,25000,425000,7,39,28.0,156.0,67.0,2,8,8,0,0
table,425000,450000,25000,450000,13,44,52.0,176.0,96.0,3,15,11,4,0
table,450000,475000,25000,475000,17,52,68.0,208.0,120.0,4,18,16,2,0
table,475000,500000,25000,500000,37,48,148.0,192.0,196.0,7,36,28,8,0
